"Ghazanfar Brothers
Purchase Detail Report
Date From: 25-09-2001    To: 04-07-2026",,,,,,,
Date Time,Item,Unit Name,Unit Number,Quantity,Purchase Price,Amount,Account Name
Stock ID: 124-10785 ,,,,,,,
01-Dec-25 ,2020 ST National Juicer,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-10786 ,,,,,,,
03-Dec-25 ,999 St. 7015 blender,,300,300,0,,Saddam Bhai Jamal Center
,,,,300.00,,0.00,
Stock ID: 124-10787 ,,,,,,,
04-Dec-25 ,176 7030 cooper Panasonic Juicer 3in1 ,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-10788 ,,,,,,,
05-Dec-25 ,1018 Panasonic Blender 7020 Copper,,300,300,0,,Saddam Bhai Jamal Center
,,,,300.00,,0.00,
Stock ID: 124-10789 ,,,,,,,
08-Dec-25 ,176 HS 9900 3in1 Juicer,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-10790 ,,,,,,,
09-Dec-25 ,176 7030 cooper Panasonic Juicer 3in1 ,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-10791 ,,,,,,,
10-Dec-25 ,446 St National Juicer,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-10792 ,,,,,,,
12-Dec-25 ,A 18 Sanyo Dish Heater,,2,2,4500,"9,000",Shahid Sahab Haseeb Traders
,,,,2.00,,"9,000.00",
Stock ID: 124-10797 ,,,,,,,
12-Dec-25 ,Britania Toaster,,6,6,3200,"19,200",Javaid Rasheed Center
,,,,6.00,,"19,200.00",
Stock ID: 124-10812 ,,,,,,,
12-Dec-25 ,960 Y China Hitachi Vacuum Cleaner,,70,70,8600,"602,000",Abid Bhai Seco 
12-Dec-25 ,4832 LG Vacuum Cleaner,,67,67,15800,"1,058,600",Abid Bhai Seco 
12-Dec-25 ,960 Y China Hitachi Vacuum Cleaner,,30,30,8600,"258,000",Abid Bhai Seco 
,,,,167.00,,"1,918,600.00",
Stock ID: 124-10861 ,,,,,,,
13-Dec-25 ,704 Oxford Hand Blender With Egg Beater,,90,90,2958.4,"266,256",Sitara Trading Company
,,,,90.00,,"266,256.00",
Stock ID: 124-10862 ,,,,,,,
13-Dec-25 ,5050 NS 4in1 Juicer,,3,3,4483,"13,449",Sitara Trading Company
,,,,3.00,,"13,449.00",
Stock ID: 124-10863 ,,,,,,,
13-Dec-25 ,555 Microwave Oven,,30,30,11400,"342,000",Sitara Traders Micro Deal 
,,,,30.00,,"342,000.00",
Stock ID: 124-1087 ,,,,,,,
15-Sep-25 ,400 St National Iron 400 Watt,,120,120,1600,"192,000",Shahid Bhai Iron
,,,,120.00,,"192,000.00",
Stock ID: 124-10877 ,,,,,,,
13-Dec-25 ,2040 N Gray National Iron  FROM HAIDER,,150,150,1210,"181,500",Haider Sahab Iron
13-Dec-25 ,2040 P Gray Panasonic Iron,,150,150,1210,"181,500",Haider Sahab Iron
13-Dec-25 ,VIP Iron N197 Iron,,198,198,1530,"302,940",Haider Sahab Iron
,,,,498.00,,"665,940.00",
Stock ID: 124-10878 ,,,,,,,
13-Dec-25 ,Kettle China National,,420,420,780,"327,600",Multy Net Mehdi Bhai
,,,,420.00,,"327,600.00",
Stock ID: 124-10879 ,,,,,,,
13-Dec-25 ,400 Kenwood 3in1 Juicer,,9,9,3800,"34,200",Sitara Trading Company
13-Dec-25 ,1004 MJ 4in1 Juicer,,6,6,5300,"31,800",Sitara Trading Company
13-Dec-25 ,600 Mj Panasonic 7025 cooper juicer,,9,9,3800,"34,200",Sitara Trading Company
,,,,24.00,,"100,200.00",
Stock ID: 124-1088 ,,,,,,,
15-Sep-25 ,662 ND National Food Factory,,8,8,9222,"73,776",National Distributor
15-Sep-25 ,660 ND National Food Factory,,4,4,9222,"36,888",National Distributor
15-Sep-25 ,763 ND National Food Processor,,4,4,9222,"36,888",National Distributor
15-Sep-25 ,553 ND National Chopper,,24,24,5133,"123,192",National Distributor
15-Sep-25 ,552 ND National Chopper,,16,16,5133,"82,128",National Distributor
,,,,56.00,,"352,872.00",
Stock ID: 124-10880 ,,,,,,,
13-Dec-25 ,402 Food Factory ,,75,75,8100,"607,500",Usman Shanwari
,,,,75.00,,"607,500.00",
Stock ID: 124-10881 ,,,,,,,
13-Dec-25 ,2070 National Iron N Gray ,,198,198,1530,"302,940",Haider Sahab Iron
13-Dec-25 ,2040 P Gray Panasonic Iron,,150,150,1210,"181,500",Haider Sahab Iron
13-Dec-25 ,2070 Panasonic Iron P Gray ,,198,198,1530,"302,940",Haider Sahab Iron
13-Dec-25 ,2040 N Gray National Iron  FROM HAIDER,,150,150,1210,"181,500",Haider Sahab Iron
,,,,696.00,,"968,880.00",
Stock ID: 124-10882 ,,,,,,,
13-Dec-25 ,6000 MJ Panasonic 4in1 Juicer,,3,3,4250,"12,750",Sitara Trading Company
,,,,3.00,,"12,750.00",
Stock ID: 124-10883 ,,,,,,,
13-Dec-25 ,3070 Kw Chooper,,8,8,5500,"44,000",Sitara Trading Company
,,,,8.00,,"44,000.00",
Stock ID: 124-10905 ,,,,,,,
13-Dec-25 ,222 ND National Juicer,,30,30,6351,"190,530",National Distributor
13-Dec-25 ,8825 Panasonic 3in1 Juicer MP,,15,15,6351,"95,265",National Distributor
,,,,45.00,,"285,795.00",
Stock ID: 124-10906 ,,,,,,,
13-Dec-25 ,552 ND National Chopper,,8,8,5133,"41,064",National Distributor
13-Dec-25 ,552 ND National Chopper,,8,8,5133,"41,064",National Distributor
13-Dec-25 ,553 ND National Chopper,,8,8,5133,"41,064",National Distributor
,,,,24.00,,"123,192.00",
Stock ID: 124-10907 ,,,,,,,
13-Dec-25 ,3070 Kw Chooper,,8,8,5500,"44,000",Sitara Trading Company
,,,,8.00,,"44,000.00",
Stock ID: 124-10924 ,,,,,,,
13-Dec-25 ,40 MH Hot Plate,,160,160,3300,"528,000",Multy Net Mehdi Bhai
,,,,160.00,,"528,000.00",
Stock ID: 124-10927 ,,,,,,,
13-Dec-25 ,656 ND National Air Fryer ,,2,2,12615,"25,230",National Distributor
13-Dec-25 ,103 ND National Sandwich Maker Steel,,6,6,3045,"18,270",National Distributor
13-Dec-25 ,61 ND National Iron,,6,6,3219,"19,314",National Distributor
13-Dec-25 ,1053 ND National Hot Plate ,,16,16,5220,"83,520",National Distributor
13-Dec-25 ,108 ND National Sandwich Maker Black,,6,6,3045,"18,270",National Distributor
,,,,36.00,,"164,604.00",
Stock ID: 124-10940 ,,,,,,,
13-Dec-25 ,900 Abdullah Kneading Machine,,20,20,9000,"180,000",Imperial Steel National Bara
,,,,20.00,,"180,000.00",
Stock ID: 124-10941 ,,,,,,,
13-Dec-25 ,402 Food Factory ,,72,72,8100,"583,200",Usman Shanwari
13-Dec-25 ,402 Food Factory ,,153,153,8100,"1,239,300",Usman Shanwari
,,,,225.00,,"1,822,500.00",
Stock ID: 124-1096 ,,,,,,,
15-Sep-25 ,112 Philips Hand Blender,,30,30,3300,"99,000",Sitara Trading Company
,,,,30.00,,"99,000.00",
Stock ID: 124-10964 ,,,,,,,
15-Dec-25 ,7 MD Dawlance Microwave  Oven,,19,19,13800,"262,200",Shahbaz Electronics Sialkot
15-Dec-25 ,4 MD Black Dawlance Microwave Oven,,20,20,13500,"270,000",Shahbaz Electronics Sialkot
15-Dec-25 ,4 MD Black Dawlance Microwave Oven,,60,60,13500,"810,000",Shahbaz Electronics Sialkot
15-Dec-25 ,7 MD Dawlance Microwave  Oven,,20,20,13800,"276,000",Shahbaz Electronics Sialkot
15-Dec-25 ,7 MD Dawlance Microwave  Oven,,1,1,13800,"13,800",Shahbaz Electronics Sialkot
,,,,120.00,,"1,632,000.00",
Stock ID: 124-1097 ,,,,,,,
15-Sep-25 ,312 DSP Hand Blender,,66,66,3300,"217,800",Sitara Trading Company
15-Sep-25 ,012 Panasonics Chopper 3 Ltr,,45,45,2450,"110,250",Sitara Trading Company
15-Sep-25 ,3010 Kenwood Air Fryer,,12,12,10400,"124,800",Sitara Trading Company
15-Sep-25 ,2010 Panasonic Air Fryer,,12,12,10400,"124,800",Sitara Trading Company
,,,,135.00,,"577,650.00",
Stock ID: 124-10978 ,,,,,,,
15-Dec-25 ,710 Oxford Juicer,,9,9,3973.2,"35,758.8",Sitara Trading Company
,,,,9.00,,"35,758.80",
Stock ID: 124-1098 ,,,,,,,
15-Sep-25 ,1140 Kenwood Food Processor,,20,20,7500,"150,000",Sitara Trading Company
15-Sep-25 ,140 Panasonic Food Processor,,20,20,7500,"150,000",Sitara Trading Company
15-Sep-25 ,012 Panasonics Chopper 3 Ltr,,81,81,2450,"198,450",Sitara Trading Company
,,,,121.00,,"498,450.00",
Stock ID: 124-1099 ,,,,,,,
15-Sep-25 ,333 microwave glass door,,2,2,12200,"24,400",Sitara Traders Micro Deal 
,,,,2.00,,"24,400.00",
Stock ID: 124-11 ,,,,,,,
02-Sep-25 ,6125 Geepas Roti Maker,,1,1,10000,"10,000",Opening Stock
02-Sep-25 ,555 Microwave Oven,,1,1,12000,"12,000",Opening Stock
02-Sep-25 ,Box 8002 P New Juicer,,3604,"3,604",76,"273,904",Opening Stock
02-Sep-25 ,7113 RAF Coffee Grinder,,185,185,1000,"185,000",Opening Stock
02-Sep-25 ,Blade Masala 3in1 Juicer,,44000,"44,000",13,"572,000",Opening Stock
02-Sep-25 ,94 AB Perfect Heater,,1,1,1400,"1,400",Opening Stock
02-Sep-25 ,738 West Point Blender,,2,2,4150,"8,300",Opening Stock
02-Sep-25 ,654 National Chopper,,2,2,5200,"10,400",Opening Stock
02-Sep-25 ,Coli 592 Blender,,1500,"1,500",36,"54,000",Opening Stock
02-Sep-25 ,BOX RD 803 National 4in1 Juicer,,1182,"1,182",60,"70,920",Opening Stock
02-Sep-25 ,6280 Philips Kettle,,3,3,3600,"10,800",Opening Stock
02-Sep-25 ,954 Indus 3in1 Juicer,,4,4,2875,"11,500",Opening Stock
02-Sep-25 ,7725 Hot Plate,,10,10,3600,"36,000",Opening Stock
02-Sep-25 ,Atashi Kneading Machine,,4,4,5000,"20,000",Opening Stock
02-Sep-25 ,510 Dawlance Blender,,1,1,4702,"4,702",Opening Stock
02-Sep-25 ,7290 Dawlance Toaster,,1,1,4302,"4,302",Opening Stock
02-Sep-25 ,5877 SECO FOOD  PROCESSOR,,1,1,5950,"5,950",Opening Stock
02-Sep-25 ,550 Black & Decker Iron,,5,5,8500,"42,500",Opening Stock
02-Sep-25 ,601 Panasonic Blender,,10,10,2937,"29,370",Opening Stock
02-Sep-25 ,540 St National Blender 7020 Copper,,1,1,2400,"2,400",Opening Stock
02-Sep-25 ,706 Deuron White Toaster,,2,2,5576,"11,152",Opening Stock
02-Sep-25 ,BOX ST 22AWT,,780,780,48,"37,440",Opening Stock
02-Sep-25 ,80 Haeger Hand Blender 5in1,,40,40,3900,"156,000",Opening Stock
02-Sep-25 ,820 ST National Chopper,,10,10,5518,"55,180",Opening Stock
02-Sep-25 ,80 Haeger Hand Blender 5in1,,1,1,3900,"3,900",Opening Stock
02-Sep-25 ,box st 543,,587,587,63,"36,981",Opening Stock
02-Sep-25 ,6280 Cambrigde Kettle,,1,1,3383,"3,383",Opening Stock
02-Sep-25 ,770 Philips 3in1 Juicer BB,,1,1,3650,"3,650",Opening Stock
02-Sep-25 ,516 National Plus Kettle,,1,1,1825,"1,825",Opening Stock
02-Sep-25 ,Base Jug,,198,198,95,"18,810",Opening Stock
02-Sep-25 ,Bolt Gata,,58180,"58,180",6,"349,080",Opening Stock
02-Sep-25 ,6125 Geepas Roti Maker,,8,8,10000,"80,000",Opening Stock
02-Sep-25 ,710 Philips Air Fryer,,23,23,10800,"248,400",Opening Stock
02-Sep-25 ,675 Seco Rod Heater,,100,100,4500,"450,000",Opening Stock
02-Sep-25 ,7025 cc white body golden jali 3in1,,7,7,3650,"25,550",Opening Stock
02-Sep-25 ,620 Oxford 3in1 Juicer,,1,1,2408,"2,408",Opening Stock
02-Sep-25 ,Box 418 Panasonic Blender,,2372,"2,372",52,"123,344",Opening Stock
02-Sep-25 ,592 Panasonic Blender Plastic 7025 Copper,,1,1,1947,"1,947",Opening Stock
02-Sep-25 ,600 Oxford Citrus Pr,,1,1,1419,"1,419",Opening Stock
02-Sep-25 ,753 China Kettle,,1,1,1100,"1,100",Opening Stock
02-Sep-25 ,555 St National Blender 7020CC,,192,192,1623,"311,616",Opening Stock
02-Sep-25 ,639 Anex Grinder,,1,1,4841.2,"4,841.2",Opening Stock
02-Sep-25 ,76 Panasonic Single Juicer Malaysia Box,,1,1,1925,"1,925",Opening Stock
02-Sep-25 ,666 St National Blender Double Dabi 7020cc,,3,3,730,"2,190",Opening Stock
02-Sep-25 ,Box 8001 M New 3in1 Juicer,,9936,"9,936",83,"824,688",Opening Stock
02-Sep-25 ,60 mj panasonic blender,,1,1,1683,"1,683",Opening Stock
02-Sep-25 ,800 Oxford Blender,,9,9,1836.1,"16,524.9",Opening Stock
02-Sep-25 ,A 17 Sanyo Heater,,1,1,2900,"2,900",Opening Stock
02-Sep-25 ,Box 1076 Philips 4in1 Juicer,,499,499,55,"27,445",Opening Stock
02-Sep-25 ,724 Kw Blender 7020 cooper ,,1,1,2100,"2,100",Opening Stock
02-Sep-25 ,8825 white body juicer 3in1,,15,15,4500,"67,500",Opening Stock
02-Sep-25 ,762 ND National Food Processor,,3,3,9222,"27,666",Opening Stock
02-Sep-25 ,615 KENWOOD STICK,,1,1,3400,"3,400",Opening Stock
02-Sep-25 ,94 AB Perfect Heater,,1,1,1400,"1,400",Opening Stock
02-Sep-25 ,Complete Juicer Set,,3650,"3,650",917,"3,347,050",Opening Stock
02-Sep-25 ,Base Body 1018 Blender,,504,504,100,"50,400",Opening Stock
02-Sep-25 ,Chori Blender,,9132,"9,132",40,"365,280",Opening Stock
02-Sep-25 ,631 Panasonic Vacuum Cleaner China,,1,1,10900,"10,900",Opening Stock
02-Sep-25 ,646 Anex Coffee Grinder,,1,1,6006,"6,006",Opening Stock
02-Sep-25 ,5880 Kenwood Food Factory ,,34,34,8150,"277,100",Opening Stock
02-Sep-25 ,7023 ND National Blender DD,,1,1,3204,"3,204",Opening Stock
02-Sep-25 ,9098 ND National Blender 1.5L,,3,3,2871,"8,613",Opening Stock
02-Sep-25 ,Base Masala Dubi,,1200,"1,200",95,"114,000",Opening Stock
02-Sep-25 ,76 JPN Iron Heavy Weight,,107,107,1315,"140,705",Opening Stock
02-Sep-25 ,876 philips juicer 3in1 8830,,2,2,3600,"7,200",Opening Stock
02-Sep-25 ,box china pure,,3,3,800,"2,400",Opening Stock
02-Sep-25 ,630 Philips Chopper,,1,1,5300,"5,300",Opening Stock
02-Sep-25 ,543 chori,,1200,"1,200",48,"57,600",Opening Stock
02-Sep-25 ,7025 cc white body golden jali 3in1,,2,2,3650,"7,300",Opening Stock
02-Sep-25 ,617 Panasonic Kettle ,,1,1,1125,"1,125",Opening Stock
02-Sep-25 ,866 Kenwood Chopper Unbreakable,,80,80,4200,"336,000",Opening Stock
02-Sep-25 ,900 Y Silver Crest Hot Plate,,22,22,5250,"115,500",Opening Stock
02-Sep-25 ,918 Spell Kettle,,6,6,1513,"9,078",Opening Stock
02-Sep-25 ,718 Panasonic Blender 7015CC,,1,1,1450,"1,450",Opening Stock
02-Sep-25 ,Box 2222 St 3in1 Juicer,,88,88,78,"6,864",Opening Stock
02-Sep-25 ,534 Kenwood Chopper 5 Ltr,,1,1,3600,"3,600",Opening Stock
02-Sep-25 ,6043 Anex Blender,,1,1,8235.5,"8,235.5",Opening Stock
02-Sep-25 ,507 Sokany Roti Maker,,1,1,6600,"6,600",Opening Stock
02-Sep-25 ,607 Sandwich Maker,,1,1,2000,"2,000",Opening Stock
02-Sep-25 ,909 ND National Meat Grinder Machine,,1,1,11832,"11,832",Opening Stock
02-Sep-25 ,8008 National Juicer 3in1,,10,10,3900,"39,000",Opening Stock
02-Sep-25 ,6135 Anex Blender,,1,1,7007,"7,007",Opening Stock
02-Sep-25 ,603 Oxford Blender DD,,1,1,2132.8,"2,132.8",Opening Stock
02-Sep-25 ,BOSH COOPER 50%,,2000,"2,000",45,"90,000",Opening Stock
02-Sep-25 ,5040 Panasonic Fish Heater,,1,1,700,700,Opening Stock
02-Sep-25 ,917 NS Kettle,,1,1,1125,"1,125",Opening Stock
02-Sep-25 ,787 Spell 2 Raod Heater,,2,2,1100,"2,200",Opening Stock
02-Sep-25 ,918 Unbreakable Panasonic Blender,,1,1,1215,"1,215",Opening Stock
02-Sep-25 ,7025 Blender Copper Motor,,4647,"4,647",850,"3,949,950",Opening Stock
02-Sep-25 ,820 Panasonic Microwave Oven Glass Door,,1,1,12150,"12,150",Opening Stock
02-Sep-25 ,A 21 Sanyo Heater,,39,39,5800,"226,200",Opening Stock
02-Sep-25 ,690 YL China Panasonic Vacuum Cleaner,,1,1,11000,"11,000",Opening Stock
02-Sep-25 ,662 ND National Food Factory,,2,2,9222,"18,444",Opening Stock
02-Sep-25 ,8710 Multy Net Food Factory,,1,1,7470,"7,470",Opening Stock
02-Sep-25 ,801 Life Relaxe Fan Heater,,1,1,2000,"2,000",Opening Stock
02-Sep-25 ,786 St National 3in1 Juicer 8830,,3,3,6500,"19,500",Opening Stock
02-Sep-25 ,7914 Cambridge Iron,,2,2,990,"1,980",Opening Stock
02-Sep-25 ,830 St National Chopper,,4,4,6000,"24,000",Opening Stock
02-Sep-25 ,8825 Motor,,972,972,1700,"1,652,400",Opening Stock
02-Sep-25 ,7181 X ON Blender,,1,1,1300,"1,300",Opening Stock
02-Sep-25 ,950F Original Hitachi Vaccuum Cleaner,,1,1,39000,"39,000",Opening Stock
02-Sep-25 ,723 DG Microwave Oven,,1,1,14700,"14,700",Opening Stock
02-Sep-25 ,999 ND National Air Fryer,,1,1,20025,"20,025",Opening Stock
02-Sep-25 ,692 Sogo Fan,,1,1,0,,Opening Stock
02-Sep-25 ,99 Sogo Dish Heater,,1,1,4200,"4,200",Opening Stock
02-Sep-25 ,blade masalah china 176,,3500,"3,500",40,"140,000",Opening Stock
02-Sep-25 ,801 NS Hot Plate,,113,113,3200,"361,600",Opening Stock
02-Sep-25 ,820 ST National Chopper,,1,1,5518,"5,518",Opening Stock
02-Sep-25 ,5050 NS 4in1 Juicer,,10,10,4483,"44,830",Opening Stock
02-Sep-25 ,519 Sandwich Maker 4 Slice Griller,,1,1,5000,"5,000",Opening Stock
02-Sep-25 ,5880 Kenwood Food Factory ,,99,99,8150,"806,850",Opening Stock
02-Sep-25 ,Box 130 ST Iron,,220,220,50,"11,000",Opening Stock
02-Sep-25 ,554 NS Hand Blender With Egg Beater,,1,1,2950,"2,950",Opening Stock
02-Sep-25 ,508 Seco Sandwich Maker,,1,1,1325,"1,325",Opening Stock
02-Sep-25 ,6806 Panasonic Air Fryer,,1,1,13700,"13,700",Opening Stock
02-Sep-25 ,Complete Pure Juicer Set,,2700,"2,700",1200,"3,240,000",Opening Stock
02-Sep-25 ,7025CC Juicer 3in1 Motor,,17550,"17,550",1050,"18,427,500",Opening Stock
02-Sep-25 ,5100 air fryer,,1,1,15000,"15,000",Opening Stock
02-Sep-25 ,9000 Panasonic SM,,1,1,1150,"1,150",Opening Stock
02-Sep-25 ,8850 ND National Blender 1.5 Ltr,,4,4,6133,"24,532",Opening Stock
02-Sep-25 ,9097 ND National Blender Plastic,,2,2,2697,"5,394",Opening Stock
02-Sep-25 ,Blade jug china 176,,13520,"13,520",45,"608,400",Opening Stock
02-Sep-25 ,Box 1018 Panasonic Blender,,6517,"6,517",50,"325,850",Opening Stock
02-Sep-25 ,999 St. 7015 blender,,1,1,1570,"1,570",Opening Stock
02-Sep-25 ,880 abs deuron desibn,,3000,"3,000",650,"1,950,000",Opening Stock
02-Sep-25 ,56 D SUPER STAR CHOPPER,,1,1,1750,"1,750",Opening Stock
02-Sep-25 ,602 Oxford Blender,,244,244,1836.1,"448,008.4",Opening Stock
02-Sep-25 ,5070 Seco Air Fryer,,1,1,4900,"4,900",Opening Stock
02-Sep-25 ,Box 8825 Moulinex 3in1 Juicer,,397,397,76,"30,172",Opening Stock
02-Sep-25 ,7030cc Motor,,1110,"1,110",1000,"1,110,000",Opening Stock
02-Sep-25 ,890 ENVIRO EGG BEATER,,66,66,3600,"237,600",Opening Stock
02-Sep-25 ,555 st body complete,,7800,"7,800",135,"1,053,000",Opening Stock
02-Sep-25 ,7020 M Net Blender,,2,2,1065,"2,130",Opening Stock
02-Sep-25 ,676 Geepas Panni,,4,4,5000,"20,000",Opening Stock
02-Sep-25 ,76 JPN Iron Heavy Weight,,2,2,1315,"2,630",Opening Stock
02-Sep-25 ,9026 Anex Microwave Oven,,3,3,10037,"30,111",Opening Stock
02-Sep-25 ,619 Kenwood Chooper ,,46,46,6200,"285,200",Opening Stock
02-Sep-25 ,724 jug,,1500,"1,500",200,"300,000",Opening Stock
02-Sep-25 ,977 Panasonic Chopper,,3,3,3250,"9,750",Opening Stock
02-Sep-25 ,5060 NS Food Processor,,1,1,4700,"4,700",Opening Stock
02-Sep-25 ,8825 Panasonic 3in1 Juicer MP,,18,18,6351,"114,318",Opening Stock
02-Sep-25 ,763 ND National Food Processor,,1,1,9222,"9,222",Opening Stock
02-Sep-25 ,666 Panasonic Chopper,,1,1,5000,"5,000",Opening Stock
02-Sep-25 ,Box 999 ST National Blender,,2084,"2,084",35,"72,940",Opening Stock
02-Sep-25 ,620 Philips Chopper,,252,252,5650,"1,423,800",Opening Stock
02-Sep-25 ,7181 ND National Blender,,2,2,2523,"5,046",Opening Stock
02-Sep-25 ,733 Anex Baby Bottler Warmer Double,,6,6,5596.5,"33,579",Opening Stock
02-Sep-25 ,Box 4080 Philips Iron,,906,906,68,"61,608",Opening Stock
02-Sep-25 ,512 NS Sandwich Maker,,6,6,1790,"10,740",Opening Stock
02-Sep-25 ,Base Body 1018 Blender,,5964,"5,964",100,"596,400",Opening Stock
02-Sep-25 ,521 NS Iron,,6,6,615,"3,690",Opening Stock
02-Sep-25 ,580 Kenwood Blender,,1,1,0,,Opening Stock
02-Sep-25 ,555 braun stick set,,1,1,2600,"2,600",Opening Stock
02-Sep-25 ,8801 Longli Kettle,,2,2,1800,"3,600",Opening Stock
02-Sep-25 ,5800D Currency Counter,,1,1,20500,"20,500",Opening Stock
02-Sep-25 ,6506 Cambridge Juice,,1,1,5525,"5,525",Opening Stock
02-Sep-25 ,8820 Motor Juicer,,368,368,1500,"552,000",Opening Stock
02-Sep-25 ,839 ND National Hand Blender,,1,1,3560,"3,560",Opening Stock
02-Sep-25 ,9300 Philips Food Processor,,3,3,5300,"15,900",Opening Stock
02-Sep-25 ,666 St National Blender Double Dabi 7020cc,,1,1,730,730,Opening Stock
02-Sep-25 ,592 National 3in1 Juicer,,1,1,3950,"3,950",Opening Stock
02-Sep-25 ,697 Anex Blender Unbreakable,,69,69,5596.5,"386,158.5",Opening Stock
02-Sep-25 ,Box 176 Philips 3in1 Juicer,,598,598,80,"47,840",Opening Stock
02-Sep-25 ,525 St National Microwave Oven,,4,4,8420,"33,680",Opening Stock
02-Sep-25 ,960 Y China Hitachi Vacuum Cleaner,,1,1,8800,"8,800",Opening Stock
02-Sep-25 ,602 Oxford Blender,,1,1,1836.1,"1,836.1",Opening Stock
02-Sep-25 ,698 St National Double Dabi,,2,2,2800,"5,600",Opening Stock
02-Sep-25 ,853 ND National Chopper,,1,1,7395,"7,395",Opening Stock
02-Sep-25 ,710 CHINA BLENDER PANASONIC,,2,2,850,"1,700",Opening Stock
02-Sep-25 ,690 YL China Panasonic Vacuum Cleaner,,1,1,11000,"11,000",Opening Stock
02-Sep-25 ,A MAX A1,,1,1,2850,"2,850",Opening Stock
02-Sep-25 ,Box 8002 P New Juicer,,8588,"8,588",76,"652,688",Opening Stock
02-Sep-25 ,6 L Manual Silver Crest Air Fryer,,1,1,10500,"10,500",Opening Stock
02-Sep-25 ,700 Oxford Blender,,5,5,1935,"9,675",Opening Stock
02-Sep-25 ,713 Kenwood double Hot Plate,,60,60,13800,"828,000",Opening Stock
02-Sep-25 ,Box 540 St Blender,,1189,"1,189",72,"85,608",Opening Stock
02-Sep-25 ,7029 Anex Hair Dryer,,1,1,5687.5,"5,687.5",Opening Stock
02-Sep-25 ,9122 Cambridge Electric Oven,,1,1,4900,"4,900",Opening Stock
02-Sep-25 ,811 Anex Coffee Maker,,2,2,9555,"19,110",Opening Stock
02-Sep-25 ,6200 National Microwave Oven,,3,3,11600,"34,800",Opening Stock
02-Sep-25 ,718 Panasonic Chopper,,1,1,4000,"4,000",Opening Stock
02-Sep-25 ,Box 3700 KW 4in1 Juicer,,595,595,100,"59,500",Opening Stock
02-Sep-25 ,909 ND National Meat Grinder Machine,,1,1,11832,"11,832",Opening Stock
02-Sep-25 ,70 K Panasonic 3in1 Juicer,,7,7,2500,"17,500",Opening Stock
02-Sep-25 ,701 Oxford Stick,,1,1,2958.4,"2,958.4",Opening Stock
02-Sep-25 ,8081 ND National Blender,,1,1,2558,"2,558",Opening Stock
02-Sep-25 ,Button Blender WP,,5539,"5,539",70,"387,730",Opening Stock
02-Sep-25 ,837 ND National Stick Blender,,71,71,3741,"265,611",Opening Stock
02-Sep-25 ,9802 West Point Egg Beater,,2,2,3802,"7,604",Opening Stock
02-Sep-25 ,800 Philips Box,,1179,"1,179",72,"84,888",Opening Stock
02-Sep-25 ,525 ND National Microwave Oven,,1,1,18009,"18,009",Opening Stock
02-Sep-25 ,831 Geepas Cotton Candy,,1,1,10000,"10,000",Opening Stock
02-Sep-25 ,7100 Dawlance Kettle,,1,1,2580,"2,580",Opening Stock
02-Sep-25 ,8084 ND National Blender DD,,5,5,3045,"15,225",Opening Stock
02-Sep-25 ,909 ND National Meat Grinder Machine,,5,5,11832,"59,160",Opening Stock
02-Sep-25 ,Blade Jug 3in1 Juicer,,40000,"40,000",15,"600,000",Opening Stock
02-Sep-25 ,9035 Anex Microwave Oven,,1,1,11900,"11,900",Opening Stock
02-Sep-25 ,502 Panasonic 4in1 Juicer,,7,7,3400,"23,800",Opening Stock
02-Sep-25 ,7000 Plastic China Kettle,,1,1,1200,"1,200",Opening Stock
02-Sep-25 ,555 ST MASTER CARTTON,,600,600,125,"75,000",Opening Stock
02-Sep-25 ,Coli Blender WP,,576,576,36,"20,736",Opening Stock
02-Sep-25 ,722 T Panasonic Microwave Oven Digital Touch,,2,2,12500,"25,000",Opening Stock
02-Sep-25 ,6660 Haeger EB,,1,1,1380,"1,380",Opening Stock
02-Sep-25 ,721 National Blender DD,,2,2,840,"1,680",Opening Stock
02-Sep-25 ,802 NS Ceramic Cooker Hot Plate,,1,1,3900,"3,900",Opening Stock
02-Sep-25 ,9535 Commercial Blender,,1,1,12000,"12,000",Opening Stock
02-Sep-25 ,7500 National Kneading Machine,,1,1,7800,"7,800",Opening Stock
02-Sep-25 ,6050 Philips Hot Plate,,2,2,5600,"11,200",Opening Stock
02-Sep-25 ,703 Sandwich Maker 4 Slice,,36,36,3200,"115,200",Opening Stock
02-Sep-25 ,Box 2222 St 3in1 Juicer,,593,593,78,"46,254",Opening Stock
02-Sep-25 ,Blade Jug 3in1 Juicer,,53889,"53,889",15,"808,335",Opening Stock
02-Sep-25 ,5060 NS Food Processor,,2,2,4700,"9,400",Opening Stock
02-Sep-25 ,630 ND National Food Factory,,1,1,4272,"4,272",Opening Stock
02-Sep-25 ,880 mj blender 7020 Copper,,216,216,2300,"496,800",Opening Stock
02-Sep-25 ,825 ND National Hand Blender With Whisk,,12,12,4176,"50,112",Opening Stock
02-Sep-25 ,555 FS National Iron,,1,1,1600,"1,600",Opening Stock
